OrderID,Quantity,Cost
64-446-6092,3,44.57
37-255-6435,3,101.60
54-322-1808,3,93.13
46-892-9399,3,52.08
43-850-7830,3,44.57
74-302-4817,3,83.99
43-634-6121,3,83.99
36-816-5383,3,235.00
50-747-1156,3,125.00
61-841-5883,3,320.00
83-924-4913,3,210.00
29-600-4791,3,235.00
13-018-1111,3,98.00
59-380-4206,3,144.09
99-862-6759,3,210.00
21-039-2999,3,101.60
11-446-2659,3,133.17
45-033-9684,3,133.17
93-409-8648,3,69.38
90-359-2449,3,190.00
53-504-3875,3,119.80
23-153-9991,3,98.00
29-773-5797,3,69.38
19-768-2646,3,119.80
22-906-5872,3,101.60
31-121-8822,3,220.00
40-476-8892,3,91.84
11-397-2150,3,310.00
86-606-8047,3,133.17
07-322-4153,3,225.00
59-023-1187,3,220.00
44-969-2805,3,119.80
40-168-4233,3,124.62
69-562-1762,3,310.00
38-295-3172,3,75.00
64-141-5718,3,93.13
66-679-8766,3,220.00
35-427-7418,3,44.57
68-365-1512,3,225.00
46-072-3557,3,225.00
25-093-8535,3,83.99
67-382-6166,3,124.62
33-671-4773,3,168.27
38-694-5330,3,124.62
06-887-6332,3,125.00
89-306-1133,3,93.13
11-835-2932,3,235.00
78-692-7008,3,44.57
49-961-9885,3,44.57
89-513-4206,3,210.00
37-656-4777,3,52.08
82-589-4385,3,190.00
65-432-1983,3,83.99
79-638-3210,3,98.00
65-351-6434,3,75.00
01-879-8004,3,235.00
56-195-4013,3,101.60
43-720-3267,3,320.00
89-997-5952,3,91.84
60-009-2815,3,210.00
98-148-9592,3,133.17
90-878-2657,3,119.80
30-032-8406,3,98.00
89-535-2329,3,144.09
10-141-0121,3,101.60
38-478-1265,3,75.00
42-829-4772,3,220.00
00-822-8333,3,133.17
36-917-2834,3,220.00
72-306-1723,3,69.38
73-455-3435,3,225.00
53-622-3155,3,119.80
22-501-9215,3,168.27
53-401-6179,3,124.62
56-271-4185,3,225.00
51-287-9364,3,220.00
23-582-1221,3,168.27
31-593-0632,3,44.57
09-481-5023,3,310.00
76-437-5698,3,225.00
88-367-5894,3,52.08
97-219-4069,3,83.99
77-367-2436,3,124.62
61-057-1975,3,101.60
86-275-9654,3,235.00
30-205-9759,3,93.13
87-503-4703,3,44.57
01-855-8188,3,320.00
05-410-4163,3,133.17
28-341-5469,3,210.00
65-485-7254,3,83.99
89-285-0567,3,98.00
97-623-6572,3,125.00
79-946-2742,3,235.00
69-780-6998,3,69.38
72-099-2457,3,144.09
45-989-0711,3,119.80
08-483-5677,3,101.60
30-790-3083,3,210.00
56-331-9919,3,220.00
21-104-5976,3,133.17
71-828-3556,3,190.00
51-420-8292,3,98.00
00-465-7031,3,310.00
91-163-7915,3,69.38
01-975-7149,3,225.00
58-419-3322,3,119.80
11-997-6382,3,101.60
87-939-7467,3,101.60
47-441-1628,3,220.00
61-729-8958,3,91.84
35-988-0040,3,91.84
75-786-1124,3,133.17
77-827-0603,3,310.00
60-197-5739,3,133.17
54-555-7832,3,225.00
29-601-2712,3,119.80
75-883-4614,3,124.62
48-873-2607,3,75.00
56-775-4607,3,119.80
14-376-2485,3,93.13
46-671-2432,3,220.00
58-251-6487,3,44.57
87-546-5058,3,225.00
73-985-2542,3,83.99
17-146-9681,3,168.27
76-063-7709,3,124.62
26-461-5577,3,75.00
30-715-2573,3,220.00
92-795-7087,3,125.00
78-352-3174,3,235.00
83-499-1350,3,44.57
61-501-5110,3,225.00
42-906-2475,3,52.08
33-541-8718,3,210.00
79-850-0887,3,168.27
90-989-2851,3,83.99
31-302-3952,3,124.62
71-485-0830,3,190.00
82-422-7097,3,98.00
09-019-6593,3,235.00
30-117-6174,3,44.57
55-263-8669,3,320.00
75-655-7346,3,210.00
67-816-5527,3,101.60
68-391-0908,3,52.08
54-501-1389,3,83.99
15-260-9895,3,91.84
87-409-2090,3,133.17
81-491-8325,3,235.00
88-109-8460,3,320.00
19-281-5590,3,210.00
29-577-3059,3,98.00
96-173-6690,3,119.80
22-697-0930,3,75.00
75-463-0491,3,220.00
02-732-6800,3,144.09
50-475-9958,3,101.60
56-184-4508,3,225.00
39-201-1204,3,168.27
29-546-8618,3,124.62
80-984-7751,3,133.17
90-317-7928,3,44.57
40-081-7496,3,69.38
54-413-3195,3,119.80
97-004-1775,3,52.08
87-763-3059,3,83.99
47-940-7720,3,220.00
61-533-3161,3,235.00
40-708-8263,3,310.00
63-555-6345,3,320.00
65-249-5260,3,210.00
19-798-0585,3,225.00
50-030-7130,3,124.62
65-919-0733,3,93.13
71-925-2450,3,44.57
62-086-4242,3,83.99
73-375-8634,3,125.00
96-458-9557,3,235.00
06-075-0174,3,210.00
02-715-2965,3,190.00
82-505-2050,3,98.00
36-898-0004,3,101.60
58-753-8307,3,91.84
47-612-6340,3,133.17
40-429-8594,3,83.99
37-675-7898,3,119.80
37-103-3005,3,125.00
76-763-0657,3,235.00
95-666-2867,3,75.00
24-934-3291,3,220.00
23-082-1065,3,210.00
24-314-4867,3,225.00
98-115-7191,3,190.00
65-262-1387,3,168.27
43-566-9850,3,98.00
69-817-7678,3,124.62
91-006-3876,3,101.60
22-130-4513,3,44.57
84-707-3314,3,91.84
16-921-7992,3,52.08
63-500-9286,3,133.17
24-678-5042,3,83.99
41-328-2835,3,235.00
26-231-8897,3,119.80
37-273-5241,3,320.00
32-377-0706,3,210.00
25-339-5566,3,75.00
58-064-3049,3,98.00
35-587-5940,3,220.00
80-258-5757,3,225.00
79-518-4381,3,98.00
80-784-2924,3,168.27
12-371-9369,3,124.62
17-264-8555,3,144.09
81-881-8993,3,101.60
24-339-0545,3,44.57
55-619-8849,3,52.08
06-705-6026,3,83.99
80-890-3871,3,235.00
33-390-5032,3,133.17
08-940-9111,3,320.00
80-349-3939,3,69.38
54-162-7684,3,119.80
41-597-5931,3,210.00
23-427-8106,3,220.00
66-188-6911,3,310.00
82-410-4692,3,225.00
56-933-2115,3,144.09
14-210-2413,3,101.60
90-478-9446,3,98.00
61-618-8783,3,124.62
27-774-9457,3,144.09
87-292-9640,3,101.60
33-044-7954,3,93.13
19-189-3064,3,44.57
09-923-6077,3,133.17
00-618-9205,3,83.99
88-109-5070,3,69.38
46-796-5628,3,119.80
66-525-3598,3,125.00
66-056-8690,3,235.00
84-976-0893,3,220.00
72-823-6963,3,310.00
82-090-4450,3,225.00
25-177-6985,3,210.00
92-833-3271,3,124.62
24-139-0192,3,190.00
32-698-1958,3,98.00
61-097-0206,3,93.13
58-326-4792,3,44.57
80-768-1365,3,83.99
30-124-4774,3,125.00
61-509-9344,3,235.00
33-294-7116,3,101.60
25-621-0618,3,210.00
65-351-6434,3,91.84
31-405-1090,3,190.00
36-917-2834,3,133.17
47-102-5062,3,98.00
56-271-4185,3,119.80
21-743-3530,3,101.60
23-582-1221,3,75.00
47-084-5361,3,91.84
61-057-1975,3,220.00
30-601-0133,3,133.17
05-410-4163,3,225.00
69-780-6998,3,168.27
45-989-0711,3,124.62
56-331-9919,3,44.57
98-646-1456,3,119.80
00-465-7031,3,52.08
01-975-7149,3,83.99
45-436-6764,3,75.00
69-254-6693,3,220.00
87-939-7467,3,235.00
09-522-5385,3,225.00
35-988-0040,3,320.00
60-197-5739,3,210.00
46-773-9492,3,168.27
29-601-2712,3,98.00
85-559-9663,3,124.62
48-873-2607,3,144.09
46-671-2432,3,101.60
32-596-3017,3,44.57
87-546-5058,3,133.17
58-287-7773,3,133.17
17-146-9681,3,69.38
76-063-7709,3,119.80
02-211-2785,3,52.08
35-884-9148,3,83.99
83-499-1350,3,220.00
60-600-4172,3,235.00
40-107-4974,3,69.38
42-906-2475,3,310.00
46-301-6761,3,119.80
90-989-2851,3,225.00
67-799-1881,3,320.00
09-019-6593,3,124.62
34-061-0340,3,210.00
69-624-5454,3,220.00
55-263-8669,3,93.13
74-603-8937,3,98.00
75-655-7346,3,44.57
36-779-8330,3,310.00
65-329-2436,3,98.00
